1,7,0,الفاتحة,Al-Faatiha,The Opening,meccan,5,1,,
2,286,7,البقرة,Al-Baqara,The Cow,medinan,87,40,,
3,200,293,آل عمران,Aal-i-Imraan,The Family of Imraan,medinan,89,20,,
4,176,493,النساء,An-Nisaa,The Women,medinan,92,24,,
5,120,669,المائدة,Al-Maaida,The Table,medinan,112,16,,
6,165,789,الأنعام,Al-An'aam,The Cattle,meccan,55,20,,
7,206,954,الأعراف,Al-A'raaf,The Heights,meccan,39,24,,
8,75,1160,الأنفال,Al-Anfaal,The Spoils of War,medinan,88,10,,
9,129,1235,التوبة,At-Tawba,The Repentance,medinan,113,16,,
10,109,1364,يونس,Yunus,Jonas,meccan,51,11,,
11,123,1473,هود,Hud,Hud,meccan,52,10,,
12,111,1596,يوسف,Yusuf,Joseph,meccan,53,12,,
13,43,1707,الرعد,Ar-Ra'd,The Thunder,medinan,96,6,,
14,52,1750,ابراهيم,Ibrahim,Abraham,meccan,72,7,,
15,99,1802,الحجر,Al-Hijr,The Rock,meccan,54,6,,
16,128,1901,النحل,An-Nahl,The Bee,meccan,70,16,,
17,111,2029,الإسراء,Al-Israa,The Night Journey,meccan,50,12,,
18,110,2140,الكهف,Al-Kahf,The Cave,meccan,69,12,,
19,98,2250,مريم,Maryam,Mary,meccan,44,6,,
20,135,2348,طه,Taa-Haa,Taa-Haa,meccan,45,8,,
21,112,2483,الأنبياء,Al-Anbiyaa,The Prophets,meccan,73,7,,
22,78,2595,الحج,Al-Hajj,The Pilgrimage,medinan,103,10,,
23,118,2673,المؤمنون,Al-Muminoon,The Believers,meccan,74,6,,
24,64,2791,النور,An-Noor,The Light,medinan,102,9,,
25,77,2855,الفرقان,Al-Furqaan,The Criterion,meccan,42,6,,
26,227,2932,الشعراء,Ash-Shu'araa,The Poets,meccan,47,11,,
27,93,3159,النمل,An-Naml,The Ant,meccan,48,7,,
28,88,3252,القصص,Al-Qasas,The Stories,meccan,49,8,,
29,69,3340,العنكبوت,Al-Ankaboot,The Spider,meccan,85,7,,
30,60,3409,الروم,Ar-Room,The Romans,meccan,84,6,,
31,34,3469,لقمان,Luqman,Luqman,meccan,57,3,,
32,30,3503,السجدة,As-Sajda,The Prostration,meccan,75,3,,
33,73,3533,الأحزاب,Al-Ahzaab,The Clans,medinan,90,9,,
34,54,3606,سبإ,Saba,Sheba,meccan,58,6,,
35,45,3660,فاطر,Faatir,The Originator,meccan,43,5,,
36,83,3705,يس,Yaseen,Yaseen,meccan,41,5,,
37,182,3788,الصافات,As-Saaffaat,Those drawn up in Ranks,meccan,56,5,,
38,88,3970,ص,Saad,The letter Saad,meccan,38,5,,
39,75,4058,الزمر,Az-Zumar,The Groups,meccan,59,8,,
40,85,4133,غافر,Al-Ghaafir,The Forgiver,meccan,60,9,,
41,54,4218,فصلت,Fussilat,Explained in detail,meccan,61,6,,
42,53,4272,الشورى,Ash-Shura,Consultation,meccan,62,5,,
43,89,4325,الزخرف,Az-Zukhruf,Ornaments of gold,meccan,63,7,,
44,59,4414,الدخان,Ad-Dukhaan,The Smoke,meccan,64,3,,
45,37,4473,الجاثية,Al-Jaathiya,Crouching,meccan,65,4,,
46,35,4510,الأحقاف,Al-Ahqaf,The Dunes,meccan,66,4,,
47,38,4545,محمد,Muhammad,Muhammad,medinan,95,4,,
48,29,4583,الفتح,Al-Fath,The Victory,medinan,111,4,,
49,18,4612,الحجرات,Al-Hujuraat,The Inner Apartments,medinan,106,2,,
50,45,4630,ق,Qaaf,The letter Qaaf,meccan,34,3,,
51,60,4675,الذاريات,Adh-Dhaariyat,The Winnowing Winds,meccan,67,3,,
52,49,4735,الطور,At-Tur,The Mount,meccan,76,2,,
53,62,4784,النجم,An-Najm,The Star,meccan,23,3,,
54,55,4846,القمر,Al-Qamar,The Moon,meccan,37,3,,
55,78,4901,الرحمن,Ar-Rahmaan,The Beneficent,medinan,97,3,,
56,96,4979,الواقعة,Al-Waaqia,The Inevitable,meccan,46,3,,
57,29,5075,الحديد,Al-Hadid,The Iron,medinan,94,4,,
58,22,5104,المجادلة,Al-Mujaadila,The Pleading Woman,medinan,105,3,,
59,24,5126,الحشر,Al-Hashr,The Exile,medinan,101,3,,
60,13,5150,الممتحنة,Al-Mumtahana,She that is to be examined,medinan,91,2,,
61,14,5163,الصف,As-Saff,The Ranks,medinan,109,2,,
62,11,5177,الجمعة,Al-Jumu'a,Friday,medinan,110,2,,
63,11,5188,المنافقون,Al-Munaafiqoon,The Hypocrites,medinan,104,2,,
64,18,5199,التغابن,At-Taghaabun,Mutual Disillusion,medinan,108,2,,
65,12,5217,الطلاق,At-Talaaq,Divorce,medinan,99,2,,
66,12,5229,التحريم,At-Tahrim,The Prohibition,medinan,107,2,,
67,30,5241,الملك,Al-Mulk,The Sovereignty,meccan,77,2,,
68,52,5271,القلم,Al-Qalam,The Pen,meccan,2,2,,
69,52,5323,الحاقة,Al-Haaqqa,The Reality,meccan,78,2,,
70,44,5375,المعارج,Al-Ma'aarij,The Ascending Stairways,meccan,79,2,,
71,28,5419,نوح,Nooh,Noah,meccan,71,2,,
72,28,5447,الجن,Al-Jinn,The Jinn,meccan,40,2,,
73,20,5475,المزمل,Al-Muzzammil,The Enshrouded One,meccan,3,2,,
74,56,5495,المدثر,Al-Muddaththir,The Cloaked One,meccan,4,2,,
75,40,5551,القيامة,Al-Qiyaama,The Resurrection,meccan,31,2,,
76,31,5591,الانسان,Al-Insaan,Man,medinan,98,2,,
77,50,5622,المرسلات,Al-Mursalaat,The Emissaries,meccan,33,2,,
78,40,5672,النبإ,An-Naba,The Announcement,meccan,80,2,,
79,46,5712,النازعات,An-Naazi'aat,Those who drag forth,meccan,81,2,,
80,42,5758,عبس,Abasa,He frowned,meccan,24,1,,
81,29,5800,التكوير,At-Takwir,The Overthrowing,meccan,7,1,,
82,19,5829,الإنفطار,Al-Infitaar,The Cleaving,meccan,82,1,,
83,36,5848,المطففين,Al-Mutaffifin,Defrauding,meccan,86,1,,
84,25,5884,الإنشقاق,Al-Inshiqaaq,The Splitting Open,meccan,83,1,,
85,22,5909,البروج,Al-Burooj,The Constellations,meccan,27,1,,
86,17,5931,الطارق,At-Taariq,The Morning Star,meccan,36,1,,
87,19,5948,الأعلى,Al-A'laa,The Most High,meccan,8,1,,
88,26,5967,الغاشية,Al-Ghaashiya,The Overwhelming,meccan,68,1,,
89,30,5993,الفجر,Al-Fajr,The Dawn,meccan,10,1,,
90,20,6023,البلد,Al-Balad,The City,meccan,35,1,,
91,15,6043,الشمس,Ash-Shams,The Sun,meccan,26,1,,
92,21,6058,الليل,Al-Lail,The Night,meccan,9,1,,
93,11,6079,الضحى,Ad-Dhuhaa,The Morning Hours,meccan,11,1,,
94,8,6090,الشرح,Ash-Sharh,The Consolation,meccan,12,1,,
95,8,6098,التين,At-Tin,The Fig,meccan,28,1,,
96,19,6106,العلق,Al-Alaq,The Clot,meccan,1,1,,
97,5,6125,القدر,Al-Qadr,"The Power, Fate",meccan,25,1,,
98,8,6130,البينة,Al-Bayyina,The Evidence,medinan,100,1,,
99,8,6138,الزلزلة,Az-Zalzala,The Earthquake,medinan,93,1,,
100,11,6146,العاديات,Al-Aadiyaat,The Chargers,meccan,14,1,,
101,11,6157,القارعة,Al-Qaari'a,The Calamity,meccan,30,1,,
102,8,6168,التكاثر,At-Takaathur,Competition,meccan,16,1,,
103,3,6176,العصر,Al-Asr,"The Declining Day, Epoch",meccan,13,1,,
104,9,6179,الهمزة,Al-Humaza,The Traducer,meccan,32,1,,
105,5,6188,الفيل,Al-Fil,The Elephant,meccan,19,1,,
106,4,6193,قريش,Quraish,Quraysh,meccan,29,1,,
107,7,6197,الماعون,Al-Maa'un,Almsgiving,meccan,17,1,,
108,3,6204,الكوثر,Al-Kawthar,Abundance,meccan,15,1,,
109,6,6207,الكافرون,Al-Kaafiroon,The Disbelievers,meccan,18,1,,
110,3,6213,النصر,An-Nasr,Divine Support,medinan,114,1,,
111,5,6216,المسد,Al-Masad,The Palm Fibre,meccan,6,1,,
112,4,6221,الإخلاص,Al-Ikhlaas,Sincerity,meccan,22,1,,
113,5,6225,الفلق,Al-Falaq,The Dawn,meccan,20,1,,
114,6,6230,الناس,An-Naas,Mankind,meccan,21,1,,
